year,month,day,team,opponent,location,team_score,opponent_score
2016,10,1,Columbia,Princeton,1,13,48
2016,10,22,Harvard,Princeton,-1,23,20
2016,10,28,Columbia,Yale,1,23,31
2016,11,5,Columbia,Harvard,-1,21,28
2016,11,12,Princeton,Yale,-1,31,3
2016,11,19,Harvard,Yale,1,14,21
