year,month,day,Harvard ,Princeton,Yale,Columbia,location,MOV
2016,10,1,0,1,0,-1,-1,35
2016,10,22,1,-1,0,0,-1,3
2016,10,28,0,0,1,-1,-1,8
2016,11,5,1,0,0,-1,1,7
2016,11,12,0,1,-1,0,-1,28
2016,11,19,-1,0,1,0,-1,7
